background, person, image, K, BER, SNR
1, 2, 1, 2, 0.018090330536654115, 4
1, 2, 1, 2, 0.009094712734799937, 5
1, 2, 1, 2, 0.0038922287551474313, 6
1, 2, 1, 2, 0.0012001497434542291, 7
1, 2, 1, 4, 0.06095989958380128, 1
1, 2, 1, 4, 0.03269031732399639, 2
1, 2, 1, 4, 0.015067935081808372, 3
1, 2, 1, 4, 0.005560326793067759, 4
1, 2, 1, 4, 0.0019378564664949021, 5
1, 2, 1, 4, 0.0001706634956288124, 6
1, 2, 1, 4, 1.6515822157627006e-05, 7
1, 2, 1, 8, 0.0817423091321486, 1
1, 2, 1, 8, 0.043651317962608176, 2
1, 2, 1, 8, 0.019097795688269362, 3
1, 2, 1, 8, 0.00721190900883046, 4
1, 2, 1, 8, 0.0020259408513355797, 5
1, 2, 1, 8, 0.0004349166501508445, 6
1, 2, 1, 8, 1.1010548105084671e-05, 7
1, 2, 1, 16, 0.0869833300301689, 1
1, 2, 1, 16, 0.03878465570016076, 2
1, 2, 1, 16, 0.011709717909757549, 3
1, 2, 1, 16, 0.0032040694985796393, 4
1, 2, 1, 16, 0.0003688533615203365, 5
1, 2, 1, 16, 0.0, 6
1, 2, 1, 16, 0.0, 7
1, 2, 1, 32, 0.103967100482262, 1
1, 2, 1, 32, 0.0365274933386184, 2
1, 2, 1, 32, 0.009023144172116889, 3
1, 2, 1, 32, 0.0010900442624033825, 4
1, 2, 1, 32, 7.156856268305036e-05, 5
1, 2, 1, 32, 0.0, 6
1, 2, 1, 32, 0.0, 7
1, 2, 1, 64, 0.11840192904802802, 1
1, 2, 1, 64, 0.035321838321111625, 2
1, 2, 1, 64, 0.0060007487172711454, 3
1, 2, 1, 64, 0.0003413269912576248, 4
1, 2, 1, 64, 0.0, 5
1, 2, 1, 64, 0.0, 6
1, 2, 1, 64, 0.0, 7
1, 2, 1, 128, 0.14526766642443462, 1
1, 2, 1, 128, 0.03026799674087776, 2
1, 2, 1, 128, 0.003980313139988109, 3
1, 2, 1, 128, 0.0, 4
1, 2, 1, 128, 0.0, 5
1, 2, 1, 128, 0.0, 6
1, 2, 1, 128, 0.0, 7
1, 2, 2, 1, 0.056045612621083894, 1
1, 2, 2, 1, 0.037787877431006436, 2
1, 2, 2, 1, 0.023254078419080882, 3
1, 2, 2, 1, 0.012671830922849596, 4
1, 2, 2, 1, 0.005820982402722429, 5
1, 2, 2, 1, 0.0024254093344676787, 6
1, 2, 2, 1, 0.0007612053911252406, 7
1, 2, 2, 2, 0.08028104897088016, 1
1, 2, 2, 2, 0.055109031478081764, 2
1, 2, 2, 2, 0.03399304467230854, 3
1, 2, 2, 2, 0.01862714368871177, 4
1, 2, 2, 2, 0.008970283138554306, 5
1, 2, 2, 2, 0.003679159390438663, 6
1, 2, 2, 2, 0.001171659278496694, 7
1, 2, 2, 4, 0.060870311497186524, 1
1, 2, 2, 4, 0.033369901043299156, 2
1, 2, 2, 4, 0.015530082538545351, 3
1, 2, 2, 4, 0.006100837325930238, 4
1, 2, 2, 4, 0.0016306213525575008, 5
1, 2, 2, 4, 0.00025373513037508025, 6
1, 2, 2, 4, 4.8508186689353576e-05, 7
1, 2, 2, 8, 0.08108329975074255, 1
1, 2, 2, 8, 0.04358647143987224, 2
1, 2, 2, 8, 0.019272675711577786, 3
1, 2, 2, 8, 0.006977716085314706, 4
1, 2, 2, 8, 0.002000029851191809, 5
1, 2, 2, 8, 0.000309706115016642, 6
1, 2, 2, 8, 2.985119180883297e-05, 7
1, 2, 2, 16, 0.0837475186196809, 1
1, 2, 2, 16, 0.04003044821564501, 2
1, 2, 2, 16, 0.011276287705786654, 3
1, 2, 2, 16, 0.00314183793787967, 4
1, 2, 2, 16, 0.0005000074627979522, 5
1, 2, 2, 16, 0.00015298735802026897, 6
1, 2, 2, 16, 0.0, 7
1, 2, 2, 32, 0.10405379184763952, 1
1, 2, 2, 32, 0.03744832012418096, 2
1, 2, 2, 32, 0.008444155882923625, 3
1, 2, 2, 32, 0.0010709115061418827, 4
1, 2, 2, 32, 8.209077747429066e-05, 5
1, 2, 2, 32, 0.0, 6
1, 2, 2, 32, 0.0, 7
1, 2, 2, 64, 0.1230503440349856, 1
1, 2, 2, 64, 0.035049030582546006, 2
1, 2, 2, 64, 0.005798594008865804, 3
1, 2, 2, 64, 0.0004701562709891192, 4
1, 2, 2, 64, 0.0, 5
1, 2, 2, 64, 0.0, 6
1, 2, 2, 64, 0.0, 7
1, 2, 2, 128, 0.1440581202704518, 1
1, 2, 2, 128, 0.03248929088493858, 2
1, 2, 2, 128, 0.0027239212525560085, 3
1, 2, 2, 128, 0.00040299108941924507, 4
1, 2, 2, 128, 0.0, 5
1, 2, 2, 128, 0.0, 6
1, 2, 2, 128, 0.0, 7
